title,price,image_url,description,main_category,sub_category
Matcha Burnt Cheesecake,55000,http://product.hstatic.net/1000075078/product/1743674607_matcha-burnt-cheesecake_2b4a68367fb64d0fb9bb7eed5ca116f7_grande.png,"Hòa quyện giữa phô mai béo ngậy và trà xanh đắng nhẹ, thơm lừng, tinh tế khó cưỡng.",Bánh,Bánh ngọt
Burnt Cheesecake,55000,http://product.hstatic.net/1000075078/product/1743674500_burnt-cheesecake_3ca2f1483b034c3a9192a07e6b2f3b81_grande.png,"Phô mai béo mịn, thơm lừng với lớp vỏ cháy xém đặc trưng, tan chảy ngay đầu lưỡi.",Bánh,Bánh ngọt
Latte Classic,55000,http://product.hstatic.net/1000075078/product/1746439218_latte-classic_e216596a8267420b9e55714322ac2d8f_grande.png,"Latte Đá là sự kết hợp hoàn hảo giữa espresso đậm đà và sữa tươi béo ngậy, tạo ra một hương vị dịu nhẹ, không quá đắng nhưng vẫn giữ được sự đậm đà của cà phê. Khi thêm đá lạnh, Latte Đá mang lại cảm giác mát lạnh, dễ uống, rất thích hợp cho những ngày nóng. Hương vị của sữa tươi hòa quyện với cà phê tạo nên một thức uống thơm ngon, thanh mát nhưng vẫn đầy đủ độ béo và sự ngọt nhẹ.",Cà phê,Cà phê máy
Latte Bạc Xỉu,49000,http://product.hstatic.net/1000075078/product/1746441267_latte-bac-xiu_a6fe420fef6f4ec7a2e4f87e9e03ef4b_grande.png,"Latte Bạc Xỉu là sự kết hợp giữa Espresso, sữa tươi béo ngậy và cà phê phin đậm đà, tạo ra một hương vị vừa ngọt nhẹ, vừa đậm đà, dễ uống và mát lạnh.",Cà phê,Cà phê máy
Latte Coconut,59000,http://product.hstatic.net/1000075078/product/1746441318_latte-coconut_1a5187bb0e9f4e8abe8898129d42f44d_grande.png,"Latte Coconut là sự kết hợp hoàn hảo giữa Espresso đậm đà, sữa tươi béo ngậy, nước cốt dừa thơm mát và sữa đặc ngọt ngào, tạo nên một hương vị béo ngậy, ngọt nhẹ và mát lạnh. Thức uống này mang đến cảm giác tươi mới và dễ chịu, với hương dừa đặc trưng hòa quyện cùng cà phê và sữa đặc tạo nên sự hoàn hảo.",Cà phê,Cà phê máy
Latte Hazelnut,59000,http://product.hstatic.net/1000075078/product/1746441372_halzenut-latte_3ef994056c3b4765a600e853f6cca72d_grande.png,"Latte Hazelnut là sự kết hợp giữa Espresso đậm đà, sữa tươi béo ngậy, và syrup hạt phỉ ngọt nhẹ, mang đến một hương vị thơm lừng, béo ngậy và mát lạnh. Thức uống này mang đến sự hòa quyện hoàn hảo giữa cà phê và hương vị hạt phỉ, tạo nên một trải nghiệm dễ chịu và thơm ngon.",Cà phê,Cà phê máy
Latte Caramel,59000,http://product.hstatic.net/1000075078/product/1746441451_caramel-coffee_dc2004f6d8144f2f8b7512ba95319ef7_grande.png,"Latte Caramel là sự kết hợp giữa Espresso đậm đà, sữa tươi béo ngậy, và syrup caramel ngọt ngào, mang đến một hương vị thơm lừng, ngọt nhẹ và mát lạnh. Thức uống này tạo nên sự hài hòa giữa cà phê đậm và vị ngọt của caramel, đem lại cảm giác dễ chịu và thú vị.",Cà phê,Cà phê máy
Latte Almond,59000,http://product.hstatic.net/1000075078/product/1746441513_almond-coffee_f0797787534a473ea51f29afaadf37d3_grande.png,"Latte Almond là sự kết hợp giữa Espresso đậm đà, sữa tươi béo ngậy, và syrup hạnh nhân thơm lừng, mang đến một hương vị ngọt nhẹ, béo ngậy và mát lạnh. Thức uống này tạo nên sự hòa quyện tuyệt vời giữa cà phê và vị hạnh nhân đặc trưng, đem lại cảm giác dễ chịu và độc đáo.",Cà phê,Cà phê máy
Frosty Cà Phê Đường Đen,59000,http://product.hstatic.net/1000075078/product/1737355743_fosty-duong-den_f31a38a3c6e74a7d98dfdae76aaf4d7e_grande.png,"Đá Xay Frosty Cà Phê Đường Đen mát lạnh, sảng khoái ngay từ ngụm đầu tiên nhờ sự kết hợp vượt chuẩn vị quen giữa Espresso đậm đà và Đường Đen ngọt thơm. Đặc biệt, whipping cream beo béo cùng thạch cà phê giòn dai, đậm vị nhân đôi sự hấp dẫn, khơi bừng sự hứng khởi trong tích tắc.",Thức uống đá xay,Đá xay
Frosty Caramel Arabica,59000,http://product.hstatic.net/1000075078/product/1737355751_fosty-caramel-arabica_bbffff2aa4464c3195fcc9fabf02a1d3_grande.png,"Caramel ngọt thơm quyện cùng cà phê Arabica Cầu Đất đượm hương gỗ thông, hạt dẻ và nốt sô cô la đặc trưng tạo nên Đá Xay Frosty Caramel Arabica độc đáo chỉ có tại Nhà. Cực cuốn với lớp whipping cream béo mịn, thêm thạch cà phê giòn ngon bắt miệng.",Thức uống đá xay,Đá xay
Frosty Bánh Kem Dâu,59000,http://product.hstatic.net/1000075078/product/1737355736_fosty-banh-kem-dau_fa9000774ec540a39a100cd389a622c1_grande.png,"Bồng bềnh như một đám mây, Đá Xay Frosty Bánh Kem Dâu vừa ngon mắt vừa chiều vị giác bằng sự ngọt ngào. Bắt đầu bằng cái chạm môi với lớp kem whipping cream, cảm nhận ngay vị beo béo lẫn sốt dâu thơm lừng. Sau đó, hút một ngụm là cuốn khó cưỡng bởi đá xay mát lạnh quyện cùng sốt dâu ngọt dịu. Lưu ý: Khuấy đều phần đá xay trước khi dùng",Thức uống đá xay,Đá xay
Frosty Phin-Gato,55000,http://product.hstatic.net/1000075078/product/1737355760_fosty-phin-gato_6ede765c7fdb4a7883bc7126619929d0_grande.png,"Đá Xay Frosty Phin-Gato là lựa chọn không thể bỏ lỡ cho tín đồ cà phê. Cà phê nguyên chất pha phin truyền thống, thơm đậm đà, đắng mượt mà, quyện cùng kem sữa béo ngậy và đá xay mát lạnh. Nhân đôi vị cà phê nhờ có thêm thạch cà phê đậm đà, giòn dai. Thức uống khơi ngay sự tỉnh táo tức thì. Lưu ý: Khuấy đều phần đá xay trước khi dùng",Thức uống đá xay,Đá xay
Frappe Choco Chip,65000,http://product.hstatic.net/1000075078/product/1746460836_choco-chip-frappe_81622b7415704acdb45538b7c621acab_grande.png,"Frappe Choco Chip, thử là đã! Lớp whipping cream bồng bềnh, beo béo lại có thêm bột sô cô la và sô cô la chip trên cùng. Gấp đôi vị ngon với sô cô la thật xay với đá sánh mịn, đậm đà đến tận ngụm cuối cùng.",Thức uống đá xay,Đá xay có lớp whipping cream
Frappe Hazelnut,65000,http://product.hstatic.net/1000075078/product/1746443470_halzenut-frappe_2bf7cd6836de4d9392496214efbe0915_grande.png,"Frappe Hazelnut kết hợp cà phê đậm đà với hạt phỉ (hazelnut), mang đến một món thức uống vừa có hương vị cà phê mạnh mẽ, vừa có sự thơm ngọt đặc trưng từ hạt phỉ. Vị bùi bùi của hạt phỉ giúp làm dịu độ đắng của cà phê, tạo nên một sự kết hợp hài hòa, hoàn hảo cho những ai yêu thích hương nutty.",Thức uống đá xay,Đá xay có lớp whipping cream
Frappe Caramel,65000,http://product.hstatic.net/1000075078/product/1746443362_caramel-frappe_f0d3bf8ea1914497bf9a93799ea04303_grande.png,"Frappe Caramel kết hợp cà phê đậm đà với caramel ngọt ngào, tạo ra một món thức uống vừa có độ đắng nhẹ của cà phê, vừa có sự ngọt ngào, béo ngậy từ caramel. Thức uống này rất thích hợp cho những ai yêu thích sự kết hợp giữa vị cà phê đậm và vị ngọt béo của caramel, tạo cảm giác thư giãn, dễ chịu.",Thức uống đá xay,Đá xay có lớp whipping cream
Frappe Almond,65000,http://product.hstatic.net/1000075078/product/1746443342_almond-frappe_fc2ee816d45c48da9df254272fa54e2f_grande.png,"Frappe Almond là sự kết hợp giữa cà phê đậm đà và hạnh nhân xay, tạo ra một món thức uống vừa có vị cà phê mạnh mẽ, vừa thơm bùi với hương vị ngọt nhẹ của hạnh nhân. Được xay với đá, món này mang lại cảm giác mát lạnh, dễ uống, phù hợp cho những ai yêu thích sự sang trọng và tinh tế trong hương vị.",Thức uống đá xay,Đá xay có lớp whipping cream
Frappe Espresso,65000,http://product.hstatic.net/1000075078/product/1746442507_coffee-frappe_2d610df6ad7c43cd91664994ed7d3eb5_grande.png,"Frappe Espresso là một món đồ uống cơ bản nhưng không kém phần hấp dẫn, kết hợp cà phê đậm đà, đá xay, và sữa, mang đến một thức uống ngọt ngào, mát lạnh. Đây là lựa chọn lý tưởng cho những tín đồ cà phê thuần túy, thích hương vị mạnh mẽ nhưng dễ uống, không quá ngọt.",Thức uống đá xay,Đá xay có lớp whipping cream
Frappe Coconut Coffee,65000,http://product.hstatic.net/1000075078/product/1746442420_coconut-frappe_9c3fd3c2cb9f41ad8445e8709a76c162_grande.png,"Frappe Coconut Coffee kết hợp cà phê đậm đà với dừa tươi, mang lại một món thức uống có sự kết hợp hoàn hảo giữa vị cà phê mạnh mẽ và hương dừa thơm mát, tạo cảm giác tươi mới và sảng khoái. Đây là một lựa chọn tuyệt vời cho những ai yêu thích sự mới mẻ, tươi ngon và không quá đắng.",Thức uống đá xay,Đá xay có lớp whipping cream
Frappe Matcha,69000,http://product.hstatic.net/1000075078/product/1746441845_matcha-frappe_bc025cb542b146d1aadbd91fe61c6f09_grande.png,"Frappe Matcha kết hợp trà xanh matcha xay mịn với sữa và đá xay, mang lại một thức uống mát lạnh với hương vị thanh nhẹ đặc trưng của trà xanh. Sự kết hợp này mang đến cảm giác thư giãn, dễ chịu nhưng vẫn có chút đắng nhẹ của matcha, hoàn hảo cho những ai muốn thưởng thức một món đồ uống không quá ngọt.",Thức uống đá xay,Đá xay có lớp whipping cream
Frosty Trà Xanh,59000,http://product.hstatic.net/1000075078/product/1737355584_frosty-tx_51735bfa96864aea91096a182abc12fe_grande.png,"Đá Xay Frosty Trà Xanh như lời mời mộc mạc, ghé thăm Tây Bắc vào những ngày tiết trời se lạnh, núi đèo mây phủ. Vị chát dịu, ngọt thanh của trà xanh Tây Bắc kết hợp đá xay sánh mịn, whipping cream bồng bềnh và bột trà xanh trên cùng thêm đậm vị. Đây không chỉ là thức uống mát lạnh bật mood, mà còn tốt cho sức khoẻ nhờ giàu vitamin và các chất chống oxy hoá.",Thức uống đá xay,Đá xay
Cà Phê Nguyên Hạt Arabica TCH (200gr),100000,http://product.hstatic.net/1000075078/product/1737355868_cpg-cf-arabica_5519e8c84bcd4f1cb239d428d07feee5_grande.png,"The Coffee House gửi bạn hương vị cà phê từ 100% hạt Arabica, được chọn lọc kỹ lưỡng tại vùng Cầu Đất, với độ cao 1650m. Với vị đắng nhẹ, hậu vị chua thanh, ngọt dịu, Cà phê nguyên hạt Arabica từ The Coffee House sẽ giúp bạn tạo ra những tách cà phê cold brew hay hand brew tinh tế yêu thích của riêng mình.",Cà phê gói mang đi,
Espresso Đá,45000,http://product.hstatic.net/1000075078/product/1745221747_1737357429-espresso-da-400x400_7e353674a6d544aebc88e7dc253ca9e4_grande.png,"Một tách Espresso nguyên bản được bắt đầu bởi những hạt Arabica chất lượng, phối trộn với tỉ lệ cân đối hạt Robusta, cho ra vị ngọt caramel, vị chua dịu và sánh đặc.",Cà phê,Espresso
Cold Brew Kim Quất,49000,http://product.hstatic.net/1000075078/product/1745224178_1737357515-coldbrew-kim-quat-400x400_25f41510fc4c4b68a6a3163f2d0fc6d6_grande.png,"Vị chua ngọt của Kim Quất làm dậy lên hương vị trái cây tự nhiên vốn sẵn có trong hạt cà phê Arabica Cầu Đất, mang đến một ly Cold Brew vừa nhẹ nhàng và thanh mát, đã khát ngày hè.",Cà phê,Cold Brew
Cold Brew Sữa Tươi,49000,http://product.hstatic.net/1000075078/product/1745222474_1737357498-coldbrew-sua-tuoi-400x400_65881a5fc2d14e8d93f4098b9e81a5f8_grande.png,"Thanh mát và cân bằng với hương vị cà phê nguyên bản 100% Arabica Cầu Đất cùng sữa tươi thơm béo cho từng ngụm tròn vị, hấp dẫn.",Cà phê,Cold Brew
Cold Brew Truyền Thống,45000,http://product.hstatic.net/1000075078/product/1745222087_1737357505-coldbrew-classic-400x400_64577c5b715c4039a63d7546868864cd_grande.png,"Tại The Coffee House, Cold Brew được ủ và phục vụ mỗi ngày từ 100% hạt Arabica Cầu Đất với hương gỗ thông, hạt dẻ, nốt sô-cô-la đặc trưng, thoang thoảng hương khói nhẹ giúp Cold Brew giữ nguyên vị tươi mới.",Cà phê,Cold Brew
Matcha Yuzu Đá Xay,59000,http://product.hstatic.net/1000075078/product/1745246609_matcha-yuzu-da-xay_90c2139a8a4241d99114d219ccddbffd_grande.png,"Matcha Nhật Bản hòa quyện Yuzu chua dịu và đá xay mát lạnh, tạo nên thức uống sảng khoái, giải nhiệt cực đã.",Matcha,
Matcha Yuzu,55000,http://product.hstatic.net/1000075078/product/1745246622_matcha-yuzu_e77064cb2ddb4d9db0aa5a1f66075422_grande.png,"Matcha Nhật Bản đậm vị kết hợp Yuzu tươi mát, chua dịu, tạo nên hương vị thanh mát và tươi mới.",Matcha,
Matcha Đào Đá Xay,59000,http://product.hstatic.net/1000075078/product/1745246637_matcha-dao-da-xay_3a33d27eeded4d35aeeaa93e8687f88b_grande.png,"Matcha Nhật Bản và đào chín mọng xay nhuyễn, mang đến phiên bản đá xay mát lạnh, sảng khoái và đầy hương vị.",Matcha,
Matcha Đào,55000,http://product.hstatic.net/1000075078/product/1745246651_matcha-dao_8c749d752e0d4d2b85f0a03310bd1379_grande.png,"Matcha Nhật Bản nguyên bản hòa quyện đào chín mọng, tạo nên hương vị tươi mát, cân bằng giữa vị matcha dịu nhẹ và độ ngọt tự nhiên của trái cây tươi.",Matcha,
Matcha Okinawa Trân Châu Hoàng Kim,65000,http://product.hstatic.net/1000075078/product/1745246677_matcha-dao-copy_ab2fbd66086240d7a49804ee1d317cbf_grande.png,"Matcha Nhật Bản kết hợp đường đen Okinawa, sữa béo nhẹ và trân châu hoàng kim mềm dẻo, tạo nên hương vị đậm đà, ngọt ngào nhưng vẫn thanh mát.",Matcha,
Matcha Sữa Dừa Đá Xay,59000,http://product.hstatic.net/1000075078/product/1745246693_matcha-dua-da-xay_9c573203163a4719abe769c5186e0151_grande.png,"Matcha Nhật Bản đậm vị kết hợp sữa dừa béo thơm, xay nhuyễn cùng đá lạnh, tạo nên thức uống mát lạnh, tan ngay từ ngụm đầu tiên.",Matcha,
Matcha Sữa Dừa,55000,http://product.hstatic.net/1000075078/product/1745246706_matcha-sua-dua_d3e07f1123d94de7a5b6df79e6ba6d88_grande.png,"Matcha Nhật Bản nguyên chất hòa cùng sữa dừa béo thơm, tạo nên ly latte êm mượt nhưng vẫn đậm đà, mang hương vị tự nhiên đầy thú vị.",Matcha,
Matcha Latte,55000,http://product.hstatic.net/1000075078/product/1745246722_matcha-latte_805657f9e18948e6a6218bbce3e8fbe4_grande.png,"Matcha Nhật Bản hảo hạng kết hợp sữa tươi mịn màng, cân bằng vị umami thanh nhẹ và độ béo dịu, mang đến thức uống thơm ngon, đầy năng lượng.",Matcha,
Matcha Tinh Khiết,49000,http://product.hstatic.net/1000075078/product/1745246736_matcha-tinh-khiet_fecd3381031d43859cefb802337057bf_grande.png,"Matcha nguyên chất 100% từ Nhật Bản, không đường, không sữa, giữ trọn hương vị nguyên bản đậm đà.",Matcha,
Bạc Xỉu Foam Dừa,45000,http://product.hstatic.net/1000075078/product/1744030643_bac-xiu-foam-dua_84db05a50ca44085b6c147e8c6df0e68_grande.png,"Bạc Xỉu Foam Dừa với phiên bản cà phê phin mới được tinh chỉnh, kết hợp giữa Robusta đậm đà và Arabica thơm dịu, hòa quyện cùng sữa đặc béo ngọt, sữa tươi mượt mà để cân bằng vị. Điểm nhấn chính là lớp foam kem dừa bồng bềnh, thơm béo, khiến mỗi ngụm đều tròn vị và khó quên.",Cà phê,Cà phê phin
Bạc Xỉu Caramel Muối,45000,http://product.hstatic.net/1000075078/product/1744095866_bac-xiu-caramel-muoi_105aa977f7c146ba92aea4ac1ecdfa53_grande.png,"Bạc Xỉu Caramel Muối với phiên bản cà phê phin mới được tinh chỉnh, kết hợp giữa Robusta đậm đà và Arabica thơm dịu, hòa quyện cùng kem sữa béo mịn, sữa tươi cân bằng vị và xốt caramel mằn mặn, tạo nên lớp hương ngọt ngào nhưng không gắt, béo nhưng không ngấy.",Cà phê,Cà phê phin
A-Mê Tuyết Quất,59000,http://product.hstatic.net/1000075078/product/1744031754_1737355048-ame-tuyet-quat-400x400_235c2f23c8ed4bc08c1867a69fdfb6bf_grande.png,"Đá tuyết Quất thơm mát, kết hợp cùng Americano đắng nhẹ. Uống là mê! *Khuấy đều để thưởng thức trọn vị",Cà phê,A-Mê
A-Mê Tuyết Mơ,59000,http://product.hstatic.net/1000075078/product/1744031902_1737355037-ame-tuyet-mo-400x400_2b28efaf3fbe455f94bb1eb14eaff169_grande.png,"Đá tuyết Mơ thanh mát, kết hợp cùng Americano đắng nhẹ. Uống là mê! *Khuấy đều để thưởng thức trọn vị",Cà phê,A-Mê
A-Mê Tuyết Đào,59000,http://product.hstatic.net/1000075078/product/1744031998_1737355030-ame-tuyet-dao-400x400_8825471960aa46ea8415bfca5fd92a09_grande.png,"Đá tuyết Đào tươi mát, kết hợp cùng Americano đắng nhẹ. Uống là mê! *Khuấy đều để thưởng thức trọn vị",Cà phê,A-Mê
